sp	long	lat	year	recordedByStandardized	recordNumberStandardized	source
Adiantum calcareum	-45.66402778	-20.26041667	2003	Melo, P.H.A.	963	mydataset
Adiantum calcareum	-45.66402778	-20.26041667	2003	Melo, P.H.A.	965	mydataset
Adiantum calcareum	-46.85402778	-13.70713889	2007	Melo, P.H.A.	1995	mydataset
Adiantum calcareum	-46.85402778	-13.70713889	2007	Melo, P.H.A.	2011	mydataset
Adiantum calcareum	-43.29127778	-13.05386111	2007	Melo, P.H.A.	2070	mydataset
Adiantum calcareum	-44.17397222	-14.44744444	2007	Melo, P.H.A.	2083	mydataset
Adiantum calcareum	-44.22605556	-15.17072222	2007	Melo, P.H.A.	2218	mydataset
Adiantum calcareum	-44.22605556	-15.17072222	2007	Melo, P.H.A.	2247	mydataset
Adiantum calcareum	-44.11861111	-19.42302778	2016	Melo, P.H.A.	4703	mydataset
Adiantum calcareum	-46.63694444	-11.78586111	2016	Melo, P.H.A.	4947	mydataset
Adiantum calcareum	-46.63694444	-11.78586111	2016	Melo, P.H.A.	4958	mydataset
Adiantum calcareum	-46.63694444	-11.78586111	2016	Melo, P.H.A.	4972	mydataset
Adiantum calcareum	-47.18494444	-15.35261111	2016	Melo, P.H.A.	5059	mydataset
Adiantum calcareum	-41.01152778	-12.45202778	2016	Melo, P.H.A.	4849A	mydataset
Adiantum calcareum	-44.03488889	-19.42675	2017	Melo, P.H.A.	5959	mydataset
Adiantum calcareum	-47.18791667	-15.34877778	2017	Melo, P.H.A.	6283	mydataset
Adiantum calcareum	-41.46158333	-11.734	2017	Melo, P.H.A.	6748	mydataset
Adiantum calcareum	-46.46944444	-12.72522222	2017	Melo, P.H.A.	6854	mydataset
Adiantum lorentzii	-45.60480556	-20.29591667	2005	Melo, P.H.A.	1398	mydataset
Adiantum lorentzii	-48.65888889	-24.44661111	2015	Casella, C.E.	42	mydataset
Adiantum calcareum	-46.4953	-12.765	2015	LABIAK	6030	gbif
Adiantum calcareum	-44.32	-13.586111	2007	QUEIROZ	12825	gbif
Adiantum calcareum	-44.251667	-13.692778	2002	FRANCA	3852	gbif
Adiantum calcareum	-40.419722	-13.258889	2001	FRANCA	3543	gbif
Adiantum calcareum	-43.176389	-13.042778	2000	QUEIROZ	5713	gbif
Adiantum calcareum	-44.254722	-15.140278	1997	SALINO	3031	gbif
Adiantum calcareum	-47.95	-15.52	1983	KIRKBRIDE	5327	gbif
Adiantum calcareum	-47.95	-15.516667	1983	KIRKBRIDE	5327	gbif
Adiantum calcareum	-44.46556	-15.57915	1973	ANDERSON	9247	gbif
Adiantum calcareum	-42	-11	1972	ANDERSON	37019	gbif
Adiantum calcareum	-44.254722	-15.140278	1997	SALINO	3031	splink
Adiantum calcareum	-44.46556	-15.57915	1973	ANDERSON	9247	splink
Adiantum calcareum	-44.32	-13.586111	2007	QUEIROZ	12825	splink
Adiantum calcareum	-43.176389	-13.042778	2000	QUEIROZ	5713	splink
Adiantum calcareum	-40.419722	-13.258889	2001	FRANCA	3543	splink
Adiantum calcareum	-44.251667	-13.692778	2002	FRANCA	3852	splink
Adiantum calcareum	-47.95	-15.516667	1983	KIRKBRIDE	5327	splink
Adiantum calcareum	-47.95	-15.52	1983	KIRKBRIDE	5327	splink
Adiantum lorentzii	-52	-30	2014	GONZATTI	1209	gbif
Adiantum lorentzii	-52.078611	-30.994564	2014	GONZATTI	1209	gbif
Adiantum lorentzii	-52.071944	-32.346389	2013	GONZATTI	704	gbif
Adiantum lorentzii	-52.072222	-31.346667	2013	GONZATTI	704	gbif
Adiantum lorentzii	-52.04197	-32.20476	2013	GONZATTI	704	gbif
Adiantum lorentzii	-68.915833	-17.543333	2012	TERAN	5255	gbif
Adiantum lorentzii	-68.888055	-17.526389	2012	TERAN	5229	gbif
Adiantum lorentzii	-68.893333	-17.563333	2012	TERAN	5240	gbif
Adiantum lorentzii	-45.324167	-22.576111	2011	GIACOMIN	1542	gbif
Adiantum lorentzii	-51.15786	-29.2611	2011	FIASCHI	3687	gbif
