id	long	lat
4164	-111.75	24.75
4165	-111.75	25.25
4166	-111.75	25.75
4264	-111.25	24.25
4265	-111.25	24.75
4266	-111.25	25.25
4267	-111.25	25.75
4364	-110.75	24.25
4365	-110.75	24.75
4462	-110.25	23.25
4463	-110.25	23.75
4464	-110.25	24.25
4563	-109.75	23.25
4564	-109.75	23.75
4664	-109.25	25.75
4665	-109.25	26.25
4763	-108.75	25.75
4764	-108.75	26.25
4862	-108.25	25.25
4863	-108.25	25.75
4961	-107.75	24.75
4962	-107.75	25.25
4963	-107.75	25.75
5061	-107.25	24.25
5062	-107.25	24.75
5063	-107.25	25.25
5162	-106.75	23.75
5163	-106.75	24.25
5164	-106.75	24.75
5264	-106.25	23.25
5265	-106.25	23.75
5266	-106.25	24.25
5368	-105.75	22.75
5369	-105.75	23.25
5370	-105.75	23.75
5473	-105.25	19.75
5474	-105.25	20.25
5475	-105.25	20.75
5476	-105.25	21.25
5477	-105.25	21.75
5478	-105.25	22.25
5479	-105.25	22.75
5480	-105.25	23.25
5583	-104.75	19.25
5584	-104.75	19.75
5585	-104.75	20.25
5586	-104.75	20.75
5587	-104.75	21.25
5588	-104.75	21.75
5589	-104.75	22.25
5590	-104.75	22.75
5694	-104.25	19.25
5695	-104.25	19.75
5696	-104.25	20.25
5697	-104.25	20.75
5698	-104.25	21.25
5699	-104.25	21.75
5700	-104.25	22.25
5802	-103.75	18.75
5803	-103.75	19.25
5804	-103.75	19.75
5805	-103.75	20.25
5806	-103.75	20.75
5807	-103.75	21.25
5808	-103.75	21.75
5911	-103.25	18.75
5912	-103.25	19.25
5913	-103.25	19.75
5914	-103.25	20.25
5915	-103.25	20.75
5916	-103.25	21.25
6019	-102.75	18.25
6020	-102.75	18.75
6021	-102.75	19.25
6022	-102.75	19.75
6023	-102.75	20.25
6024	-102.75	20.75
6129	-102.25	18.25
6130	-102.25	18.75
6131	-102.25	19.25
6132	-102.25	19.75
6133	-102.25	20.25
6238	-101.75	18.25
6239	-101.75	18.75
6240	-101.75	19.25
6241	-101.75	19.75
6348	-101.25	17.75
6349	-101.25	18.25
6350	-101.25	18.75
6351	-101.25	19.25
6458	-100.75	17.25
6459	-100.75	17.75
6460	-100.75	18.25
6461	-100.75	18.75
6571	-100.25	17.25
6572	-100.25	17.75
6573	-100.25	18.25
6685	-99.75	17.25
6686	-99.75	17.75
6695	-99.75	22.25
6696	-99.75	22.75
6697	-99.75	23.25
6698	-99.75	23.75
6799	-99.25	16.75
6800	-99.25	17.25
6801	-99.25	17.75
6809	-99.25	21.75
6810	-99.25	22.25
6811	-99.25	22.75
6812	-99.25	23.25
6813	-99.25	23.75
6814	-99.25	24.25
6915	-98.75	16.75
6916	-98.75	17.25
6923	-98.75	20.75
6924	-98.75	21.25
6925	-98.75	21.75
6926	-98.75	22.25
6927	-98.75	22.75
6928	-98.75	23.25
6929	-98.75	23.75
6930	-98.75	24.25
6931	-98.75	24.75
6932	-98.75	25.25
7029	-98.25	16.25
7030	-98.25	16.75
7031	-98.25	17.25
7037	-98.25	20.25
7038	-98.25	20.75
7039	-98.25	21.25
7040	-98.25	21.75
7041	-98.25	22.25
7042	-98.25	22.75
7043	-98.25	23.25
7044	-98.25	23.75
7045	-98.25	24.25
7046	-98.25	24.75
7047	-98.25	25.25
7147	-97.75	16.25
7148	-97.75	16.75
7154	-97.75	19.75
7155	-97.75	20.25
7156	-97.75	20.75
7157	-97.75	21.25
7158	-97.75	21.75
7159	-97.75	23.75
7160	-97.75	24.25
7161	-97.75	24.75
7162	-97.75	25.25
7163	-97.75	25.75
7263	-97.25	16.25
7264	-97.25	16.75
7268	-97.25	18.75
7269	-97.25	19.25
7270	-97.25	19.75
7271	-97.25	20.25
7272	-97.25	20.75
7273	-97.25	25.75
7367	-96.75	15.75
7368	-96.75	16.25
7369	-96.75	16.75
7372	-96.75	18.25
7373	-96.75	18.75
7374	-96.75	19.25
7375	-96.75	19.75
7376	-96.75	20.25
7473	-96.25	15.75
7474	-96.25	16.25
7475	-96.25	16.75
7477	-96.25	17.75
7478	-96.25	18.25
7479	-96.25	18.75
7480	-96.25	19.25
7580	-95.75	16.25
7581	-95.75	16.75
7582	-95.75	17.25
7583	-95.75	17.75
7584	-95.75	18.25
7585	-95.75	18.75
7687	-95.25	16.25
7688	-95.25	16.75
7689	-95.25	17.25
7690	-95.25	17.75
7691	-95.25	18.25
7793	-94.75	16.75
7794	-94.75	17.25
7795	-94.75	17.75
7796	-94.75	18.25
7895	-94.25	16.25
7896	-94.25	16.75
7897	-94.25	17.25
7898	-94.25	17.75
7997	-93.75	16.25
7998	-93.75	16.75
7999	-93.75	17.25
8000	-93.75	17.75
8001	-93.75	18.25
8098	-93.25	15.75
8099	-93.25	16.25
8100	-93.25	16.75
8101	-93.25	17.25
8102	-93.25	17.75
8103	-93.25	18.25
8195	-92.75	15.25
8196	-92.75	15.75
8197	-92.75	16.25
8198	-92.75	16.75
8199	-92.75	17.25
8200	-92.75	17.75
8201	-92.75	18.25
8289	-92.25	14.75
8290	-92.25	15.25
8291	-92.25	15.75
8292	-92.25	16.25
8293	-92.25	16.75
8294	-92.25	17.25
8295	-92.25	17.75
8296	-92.25	18.25
8382	-91.75	14.25
8383	-91.75	14.75
8384	-91.75	15.25
8385	-91.75	15.75
8386	-91.75	16.25
8387	-91.75	16.75
8388	-91.75	17.25
8389	-91.75	17.75
8390	-91.75	18.25
8473	-91.25	14.25
8474	-91.25	14.75
8475	-91.25	15.25
8476	-91.25	15.75
8477	-91.25	16.25
8478	-91.25	16.75
8479	-91.25	17.25
8480	-91.25	17.75
8481	-91.25	18.25
8482	-91.25	18.75
8564	-90.75	14.25
8565	-90.75	14.75
8566	-90.75	15.25
8567	-90.75	15.75
8568	-90.75	16.25
8569	-90.75	16.75
8570	-90.75	17.25
8571	-90.75	17.75
8572	-90.75	18.25
8573	-90.75	18.75
8574	-90.75	19.25
8656	-90.25	14.25
8657	-90.25	14.75
8658	-90.25	15.25
8659	-90.25	15.75
8660	-90.25	16.25
8661	-90.25	16.75
8662	-90.25	17.25
8663	-90.25	17.75
8664	-90.25	18.25
8665	-90.25	18.75
8666	-90.25	19.25
8667	-90.25	19.75
8668	-90.25	20.25
8669	-90.25	20.75
8748	-89.75	13.75
8749	-89.75	14.25
8750	-89.75	14.75
8751	-89.75	15.25
8752	-89.75	15.75
8753	-89.75	16.25
8754	-89.75	16.75
8755	-89.75	17.25
8756	-89.75	17.75
8757	-89.75	18.25
8758	-89.75	18.75
8759	-89.75	19.25
8760	-89.75	19.75
8761	-89.75	20.25
8762	-89.75	20.75
8763	-89.75	21.25
8843	-89.25	13.75
8844	-89.25	14.25
8845	-89.25	14.75
8846	-89.25	15.25
8847	-89.25	15.75
8848	-89.25	16.25
8849	-89.25	16.75
8850	-89.25	17.25
8851	-89.25	17.75
8852	-89.25	18.25
8853	-89.25	18.75
8854	-89.25	19.25
8855	-89.25	19.75
8856	-89.25	20.25
8857	-89.25	20.75
8858	-89.25	21.25
8938	-88.75	13.75
8939	-88.75	14.25
8940	-88.75	14.75
8941	-88.75	15.25
8942	-88.75	15.75
8943	-88.75	16.25
8944	-88.75	16.75
8945	-88.75	17.25
8946	-88.75	17.75
8947	-88.75	18.25
8948	-88.75	18.75
8949	-88.75	19.25
8950	-88.75	19.75
8951	-88.75	20.25
8952	-88.75	20.75
8953	-88.75	21.25
9034	-88.25	13.25
9035	-88.25	13.75
9036	-88.25	14.25
9037	-88.25	14.75
9038	-88.25	15.25
9039	-88.25	15.75
9040	-88.25	18.25
9041	-88.25	18.75
9042	-88.25	19.25
9043	-88.25	19.75
9044	-88.25	20.25
9045	-88.25	20.75
9046	-88.25	21.25
9126	-87.75	13.75
9127	-87.75	14.25
9128	-87.75	14.75
9129	-87.75	15.25
9130	-87.75	15.75
9131	-87.75	18.75
9132	-87.75	19.25
9133	-87.75	19.75
9134	-87.75	20.25
9135	-87.75	20.75
9136	-87.75	21.25
9216	-87.25	12.75
9217	-87.25	13.25
9218	-87.25	13.75
9219	-87.25	14.25
9220	-87.25	14.75
9221	-87.25	15.25
9222	-87.25	15.75
9223	-87.25	20.75
9224	-87.25	21.25
9302	-86.75	12.25
9303	-86.75	12.75
9304	-86.75	13.25
9305	-86.75	13.75
9306	-86.75	14.25
9307	-86.75	14.75
9308	-86.75	15.25
9309	-86.75	15.75
9387	-86.25	11.75
9388	-86.25	12.25
9389	-86.25	12.75
9390	-86.25	13.25
9391	-86.25	13.75
9392	-86.25	14.25
9393	-86.25	14.75
9394	-86.25	15.25
9395	-86.25	15.75
9478	-85.75	10.25
9479	-85.75	10.75
9480	-85.75	11.25
9481	-85.75	11.75
9482	-85.75	12.25
9483	-85.75	12.75
9484	-85.75	13.25
9485	-85.75	13.75
9486	-85.75	14.25
9487	-85.75	14.75
9488	-85.75	15.25
9489	-85.75	15.75
9573	-85.25	9.75
9574	-85.25	10.25
9575	-85.25	10.75
9576	-85.25	11.25
9577	-85.25	11.75
9578	-85.25	12.25
9579	-85.25	12.75
9580	-85.25	13.25
9581	-85.25	13.75
9582	-85.25	14.25
9583	-85.25	14.75
9584	-85.25	15.25
9585	-85.25	15.75
9674	-84.75	10.25
9675	-84.75	10.75
9676	-84.75	11.25
9677	-84.75	11.75
9678	-84.75	12.25
9679	-84.75	12.75
9680	-84.75	13.25
9681	-84.75	13.75
9682	-84.75	14.25
9683	-84.75	14.75
9684	-84.75	15.25
9685	-84.75	15.75
9773	-84.25	9.75
9774	-84.25	10.25
9775	-84.25	10.75
9776	-84.25	11.25
9777	-84.25	11.75
9778	-84.25	12.25
9779	-84.25	12.75
9780	-84.25	13.25
9781	-84.25	13.75
9782	-84.25	14.25
9783	-84.25	14.75
9784	-84.25	15.25
9785	-84.25	15.75
9786	-84.25	22.25
9872	-83.75	9.25
9873	-83.75	9.75
9874	-83.75	10.25
9875	-83.75	10.75
9876	-83.75	11.25
9877	-83.75	11.75
9878	-83.75	12.25
9879	-83.75	12.75
9880	-83.75	13.25
9881	-83.75	13.75
9882	-83.75	14.25
9883	-83.75	14.75
9884	-83.75	15.25
9885	-83.75	22.25
9886	-83.75	22.75
9970	-83.25	8.75
9971	-83.25	9.25
9972	-83.25	9.75
9973	-83.25	14.25
9974	-83.25	14.75
9975	-83.25	22.75
10058	-82.75	8.25
10059	-82.75	8.75
10060	-82.75	9.25
10061	-82.75	9.75
10062	-82.75	21.75
10063	-82.75	22.75
10064	-82.75	27.75
10065	-82.75	28.25
10149	-82.25	8.25
10150	-82.25	8.75
10151	-82.25	9.25
10152	-82.25	22.75
10153	-82.25	23.25
10154	-82.25	26.75
10155	-82.25	27.25
10156	-82.25	27.75
10157	-82.25	28.25
10243	-81.75	7.75
10244	-81.75	8.25
10245	-81.75	8.75
10246	-81.75	22.25
10247	-81.75	22.75
10248	-81.75	23.25
10249	-81.75	26.25
10250	-81.75	26.75
10251	-81.75	27.25
10252	-81.75	27.75
10253	-81.75	28.25
10332	-81.25	-4.75
10333	-81.25	-4.25
10334	-81.25	7.75
10335	-81.25	8.25
10336	-81.25	8.75
10337	-81.25	22.25
10338	-81.25	22.75
10339	-81.25	26.25
10340	-81.25	26.75
10341	-81.25	27.25
10342	-81.25	27.75
10343	-81.25	28.25
10412	-80.75	-6.25
10413	-80.75	-5.75
10414	-80.75	-5.25
10415	-80.75	-4.75
10416	-80.75	-4.25
10417	-80.75	-3.75
10418	-80.75	-2.25
10419	-80.75	-1.75
10420	-80.75	-1.25
10421	-80.75	7.25
10422	-80.75	7.75
10423	-80.75	8.25
10424	-80.75	8.75
10425	-80.75	22.25
10426	-80.75	22.75
10427	-80.75	25.25
10428	-80.75	25.75
10429	-80.75	26.25
10430	-80.75	26.75
10431	-80.75	27.25
10432	-80.75	27.75
10433	-80.75	28.25
10500	-80.25	-6.25
10501	-80.25	-5.75
10502	-80.25	-5.25
10503	-80.25	-4.75
10504	-80.25	-4.25
10505	-80.25	-3.75
10506	-80.25	-2.75
10507	-80.25	-2.25
10508	-80.25	-1.75
10509	-80.25	-1.25
10510	-80.25	-0.75
10511	-80.25	-0.25
10512	-80.25	7.75
10513	-80.25	8.25
10514	-80.25	8.75
10515	-80.25	22.25
10516	-80.25	22.75
10517	-80.25	25.75
10518	-80.25	26.25
10519	-80.25	26.75
10520	-80.25	27.25
10584	-79.75	-7.25
10585	-79.75	-6.75
10586	-79.75	-6.25
10587	-79.75	-5.75
10588	-79.75	-5.25
10589	-79.75	-4.75
10590	-79.75	-4.25
10591	-79.75	-3.75
10592	-79.75	-3.25
10593	-79.75	-2.75
10594	-79.75	-2.25
10595	-79.75	-1.75
10596	-79.75	-1.25
10597	-79.75	-0.75
10598	-79.75	-0.25
10599	-79.75	0.25
10600	-79.75	0.75
10601	-79.75	8.75
10602	-79.75	9.25
10603	-79.75	21.75
10604	-79.75	22.25
10605	-79.75	22.75
10668	-79.25	-7.75
10669	-79.25	-7.25
10670	-79.25	-6.75
10671	-79.25	-6.25
10672	-79.25	-5.75
10673	-79.25	-5.25
10674	-79.25	-4.75
10675	-79.25	-4.25
10676	-79.25	-3.75
10677	-79.25	-3.25
10678	-79.25	-2.75
10679	-79.25	-2.25
10680	-79.25	-1.75
10681	-79.25	-1.25
10682	-79.25	-0.75
10683	-79.25	-0.25
10684	-79.25	0.25
10685	-79.25	0.75
10686	-79.25	9.25
10687	-79.25	21.75
10688	-79.25	22.25
10689	-79.25	22.75
10750	-78.75	-8.25
10751	-78.75	-7.75
10752	-78.75	-7.25
10753	-78.75	-6.75
10754	-78.75	-6.25
10755	-78.75	-5.75
10756	-78.75	-5.25
10757	-78.75	-4.75
10758	-78.75	-4.25
10759	-78.75	-3.75
10760	-78.75	-3.25
10761	-78.75	-2.75
10762	-78.75	-2.25
10763	-78.75	-1.75
10764	-78.75	-1.25
10765	-78.75	-0.75
10766	-78.75	-0.25
10767	-78.75	0.25
10768	-78.75	0.75
10769	-78.75	1.25
10770	-78.75	1.75
10771	-78.75	9.25
10772	-78.75	21.75
10773	-78.75	22.25
10774	-78.75	26.75
10836	-78.25	-9.75
10837	-78.25	-9.25
10838	-78.25	-8.75
10839	-78.25	-8.25
10840	-78.25	-7.75
10841	-78.25	-7.25
10842	-78.25	-6.75
10843	-78.25	-6.25
10844	-78.25	-5.75
10845	-78.25	-5.25
10846	-78.25	-4.75
10847	-78.25	-4.25
10848	-78.25	-3.75
10849	-78.25	-3.25
10850	-78.25	-2.75
10851	-78.25	-2.25
10852	-78.25	-1.75
10853	-78.25	-1.25
10854	-78.25	-0.75
10855	-78.25	-0.25
10856	-78.25	0.25
10857	-78.25	0.75
10858	-78.25	1.25
10859	-78.25	1.75
10860	-78.25	2.25
10861	-78.25	7.75
10862	-78.25	8.25
10863	-78.25	8.75
10864	-78.25	9.25
10865	-78.25	18.25
10866	-78.25	21.25
10867	-78.25	21.75
10868	-78.25	22.25
10869	-78.25	24.25
10870	-78.25	24.75
10871	-78.25	26.75
10935	-77.75	-10.75
10936	-77.75	-10.25
10937	-77.75	-9.75
10938	-77.75	-9.25
10939	-77.75	-8.75
10940	-77.75	-8.25
10941	-77.75	-7.75
10942	-77.75	-7.25
10943	-77.75	-6.75
10944	-77.75	-6.25
10945	-77.75	-5.75
10946	-77.75	-5.25
10947	-77.75	-4.75
10948	-77.75	-4.25
10949	-77.75	-3.75
10950	-77.75	-3.25
10951	-77.75	-2.75
10952	-77.75	-2.25
10953	-77.75	-1.75
10954	-77.75	-1.25
10955	-77.75	-0.75
10956	-77.75	-0.25
10957	-77.75	0.25
10958	-77.75	0.75
10959	-77.75	1.25
10960	-77.75	1.75
10961	-77.75	2.25
10962	-77.75	7.25
10963	-77.75	7.75
10964	-77.75	8.25
10965	-77.75	8.75
10966	-77.75	18.25
10967	-77.75	20.75
10968	-77.75	21.25
10969	-77.75	21.75
10970	-77.75	22.25
10971	-77.75	23.75
10972	-77.75	24.25
10973	-77.75	24.75
10974	-77.75	26.75
11043	-77.25	-11.75
11044	-77.25	-11.25
11045	-77.25	-10.75
11046	-77.25	-10.25
11047	-77.25	-9.75
11048	-77.25	-9.25
11049	-77.25	-8.75
11050	-77.25	-8.25
11051	-77.25	-7.75
11052	-77.25	-7.25
11053	-77.25	-6.75
11054	-77.25	-6.25
11055	-77.25	-5.75
11056	-77.25	-5.25
11057	-77.25	-4.75
11058	-77.25	-4.25
11059	-77.25	-3.75
11060	-77.25	-3.25
11061	-77.25	-2.75
11062	-77.25	-2.25
11063	-77.25	-1.75
11064	-77.25	-1.25
11065	-77.25	-0.75
11066	-77.25	-0.25
11067	-77.25	0.25
11068	-77.25	0.75
11069	-77.25	1.25
11070	-77.25	1.75
11071	-77.25	2.25
11072	-77.25	2.75
11073	-77.25	3.25
11074	-77.25	3.75
11075	-77.25	4.25
11076	-77.25	4.75
11077	-77.25	5.25
11078	-77.25	5.75
11079	-77.25	6.25
11080	-77.25	6.75
11081	-77.25	7.25
11082	-77.25	7.75
11083	-77.25	8.25
11084	-77.25	8.75
11085	-77.25	17.75
11086	-77.25	18.25
11087	-77.25	20.25
11088	-77.25	20.75
11089	-77.25	21.25
11090	-77.25	26.25
11091	-77.25	26.75
11166	-76.75	-12.75
11167	-76.75	-12.25
11168	-76.75	-11.75
11169	-76.75	-11.25
11170	-76.75	-10.75
11171	-76.75	-10.25
11172	-76.75	-9.75
11173	-76.75	-9.25
11174	-76.75	-8.75
11175	-76.75	-8.25
11176	-76.75	-7.75
11177	-76.75	-7.25
11178	-76.75	-6.75
11179	-76.75	-6.25
11180	-76.75	-5.75
11181	-76.75	-5.25
11182	-76.75	-4.75
11183	-76.75	-4.25
11184	-76.75	-3.75
11185	-76.75	-3.25
11186	-76.75	-2.75
11187	-76.75	-2.25
11188	-76.75	-1.75
11189	-76.75	-1.25
11190	-76.75	-0.75
11191	-76.75	-0.25
11192	-76.75	0.25
11193	-76.75	0.75
11194	-76.75	1.25
11195	-76.75	1.75
11196	-76.75	2.25
11197	-76.75	2.75
11198	-76.75	3.25
11199	-76.75	3.75
11200	-76.75	4.25
11201	-76.75	4.75
11202	-76.75	5.25
11203	-76.75	5.75
11204	-76.75	6.25
11205	-76.75	6.75
11206	-76.75	7.25
11207	-76.75	7.75
11208	-76.75	8.25
11209	-76.75	8.75
11210	-76.75	18.25
11211	-76.75	20.25
11212	-76.75	20.75
11213	-76.75	21.25
11291	-76.25	-14.25
11292	-76.25	-13.75
11293	-76.25	-13.25
11294	-76.25	-12.75
11295	-76.25	-12.25
11296	-76.25	-11.75
11297	-76.25	-11.25
11298	-76.25	-10.75
11299	-76.25	-10.25
11300	-76.25	-9.75
11301	-76.25	-9.25
11302	-76.25	-8.75
11303	-76.25	-8.25
11304	-76.25	-7.75
11305	-76.25	-7.25
11306	-76.25	-6.75
11307	-76.25	-6.25
11308	-76.25	-5.75
11309	-76.25	-5.25
11310	-76.25	-4.75
11311	-76.25	-4.25
11312	-76.25	-3.75
11313	-76.25	-3.25
11314	-76.25	-2.75
11315	-76.25	-2.25
11316	-76.25	-1.75
11317	-76.25	-1.25
11318	-76.25	-0.75
11319	-76.25	-0.25
11320	-76.25	0.25
11321	-76.25	0.75
11322	-76.25	1.25
11323	-76.25	1.75
11324	-76.25	2.25
11325	-76.25	2.75
11326	-76.25	3.25
11327	-76.25	3.75
11328	-76.25	4.25
11329	-76.25	4.75
11330	-76.25	5.25
11331	-76.25	5.75
11332	-76.25	6.25
11333	-76.25	6.75
11334	-76.25	7.25
11335	-76.25	7.75
11336	-76.25	8.25
11337	-76.25	8.75
11338	-76.25	17.75
11339	-76.25	20.25
11340	-76.25	20.75
11341	-76.25	21.25
11422	-75.75	-14.75
11423	-75.75	-14.25
11424	-75.75	-13.75
11425	-75.75	-13.25
11426	-75.75	-12.75
11427	-75.75	-12.25
11428	-75.75	-11.75
11429	-75.75	-11.25
11430	-75.75	-10.75
11431	-75.75	-10.25
11432	-75.75	-9.75
11433	-75.75	-9.25
11434	-75.75	-8.75
11435	-75.75	-8.25
11436	-75.75	-7.75
11437	-75.75	-7.25
11438	-75.75	-6.75
11439	-75.75	-6.25
11440	-75.75	-5.75
11441	-75.75	-5.25
11442	-75.75	-4.75
